county,well_records,median_depth_ft,depth_p25_ft,depth_p75_ft,median_static_water_level_ft,median_yield_gpm,complete_system_low_usd,complete_system_high_usd
"Alachua",4486,75,20,125,27,,2700,4500
"Baker",4216,121,90,165,20,,6900,11500
"Bradford",203,165,42,235,59,,14700,24500
"Brevard",111990,68,40,160,8,,4800,8000
"Charlotte",27397,115,30,198,6,,7680,12800
"Citrus",53709,96,59,150,30,,7080,11800
"Clay",19870,220,80,400,21,,12000,20000
"Desoto",12176,168,46,284,8,,12600,21000
"Duval",41589,60,20,120,7,,2100,3500
"Flagler",18457,60,40,80,8,,6000,10000
"Hardee",11580,70,18,250,15,,3060,5100
"Hernando",44896,120,85,160,39,,7800,13000
"Highlands",35216,50,40,70,10,,3000,5000
"Hillsborough",155790,56,15,168,13,,1800,3000
"Indian River",36128,80,65,92,7,,5220,8700
"Jefferson",13,160,70,165,38,,9600,16000
"Lake",28757,150,95,200,27,,9000,15000
"Lee",91881,80,70,118,15,50,4740,7900
"Leon",50,120,71,178,22,,7200,12000
"Levy",12934,95,70,130,35,,6000,10000
"Manatee",34247,105,15,300,10,,6000,10000
"Marion",88260,105,80,144,38,,7200,12000
"Miami-Dade",10043,15,15,35,,,1020,1700
"Nassau",13095,100,65,125,12,,6000,10000
"Okeechobee",303,155,100,795,8,,4500,7500
"Orange",23836,38,15,150,12,,1800,3000
"Osceola",2727,150,25,300,12,,9600,16000
"Pasco",78874,75,33,135,15,,4800,8000
"Pinellas",122942,24,17,30,7,,1440,2400
"Polk",99811,52,20,180,17,,3900,6500
"Putnam",14053,160,100,220,23,,10800,18000
"Sarasota",98407,100,58,135,10,,6600,11000
"Seminole",10008,120,30,180,20,,9000,15000
"St. Johns",17533,90,52,250,8,,18000,30000
"St. Lucie",18,114,77,238,6,,6840,11400
"Sumter",18436,80,40,105,15,,5280,8800
"Volusia",57885,120,30,150,16,,7800,13000
